sleep_date,duration_hrs,total_deep_hrs,total_light_hrs,total_interpurt_hrs,total_unknown_hrs,total_toss_turns,avg_percent_rem_hrs
2013-03-28,7.1333333333333337,0.0,0.0,0.0,0.0,0,0.0
2013-03-29,9.2,0.0,0.0,0.0,0.0,0,0.0
2013-03-30,5.1833333333333336,0.0,0.0,0.0,0.0,0,0.0
2013-03-31,6.4,0.0,0.0,0.0,0.0,0,0.0
2013-04-01,7.45,0.0,0.0,0.0,0.0,0,0.0
2013-04-02,6.8666666666666663,0.0,0.0,0.0,0.0,0,0.0
2013-04-03,6.583333333333333,0.0,0.0,0.0,0.0,0,0.0
2013-04-04,4.8166666666666664,0.0,0.0,0.0,0.0,0,0.0
2013-04-05,7.9833333333333334,0.0,0.0,0.0,0.0,0,0.0
2013-04-07,11.65,0.0,0.0,0.0,0.0,0,0.0
2013-04-08,7.1,0.0,0.0,0.0,0.0,0,0.0
2013-04-09,5.1,0.0,0.0,0.0,0.0,0,0.0
2013-04-10,7.45,0.0,0.0,0.0,0.0,0,0.0
2013-04-11,5.8833333333333337,0.0,0.0,0.0,0.0,0,0.0
2013-04-12,8.4333333333333336,0.0,0.0,0.0,0.0,0,0.0
2013-04-13,3.4333333333333331,0.0,0.0,0.0,0.0,0,0.0
2013-04-14,6.05,0.0,0.0,0.0,0.0,0,0.0
2013-04-15,7.2833333333333332,0.0,0.0,0.0,0.0,0,0.0
2013-04-16,6.75,0.0,0.0,0.0,0.0,0,0.0
2013-04-17,7.7333333333333334,0.0,0.0,0.0,0.0,0,0.0
2013-04-18,5.0,0.0,0.0,0.0,0.0,0,0.0
2013-04-19,10.6,0.0,0.0,0.0,0.0,0,0.0
2013-04-20,5.7,0.0,0.0,0.0,0.0,0,0.0
2013-04-21,5.8833333333333337,0.0,0.0,0.0,0.0,0,0.0
2013-04-22,9.3833333333333329,0.0,0.0,0.0,0.0,0,0.0
2013-04-23,7.9833333333333334,0.0,0.0,0.0,0.0,0,0.0
2013-04-24,8.7833333333333332,0.0,0.0,0.0,0.0,0,0.0
2013-04-25,6.2333333333333334,0.0,0.0,0.0,0.0,0,0.0
2013-04-26,5.35,0.0,0.0,0.0,0.0,0,0.0
2013-04-27,8.35,0.0,0.0,0.0,0.0,0,0.0
2013-04-28,4.4833333333333334,0.0,0.0,0.0,0.0,0,0.0
2013-04-29,8.6833333333333336,0.0,0.0,0.0,0.0,0,0.0
2013-04-30,5.0,0.0,0.0,0.0,0.0,0,0.0
2013-05-01,8.2666666666666675,0.0,0.0,0.0,0.0,0,0.0
2013-05-02,7.2,0.0,0.0,0.0,0.0,0,0.0
2013-05-03,8.4333333333333336,0.0,0.0,0.0,0.0,0,0.0
2013-05-04,7.55,0.0,0.0,0.0,0.0,0,0.0
2013-05-05,5.7,0.0,0.0,0.0,0.0,0,0.0
2013-05-06,7.2166666666666668,0.0,0.0,0.0,0.0,0,0.0
2013-05-07,4.6166666666666663,0.0,0.0,0.0,0.0,0,0.0
2013-05-08,10.866666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-05-09,5.8666666666666663,0.0,0.0,0.0,0.0,0,0.0
2013-05-10,7.3833333333333337,0.0,0.0,0.0,0.0,0,0.0
2013-05-11,7.55,0.0,0.0,0.0,0.0,0,0.0
2013-05-12,6.3666666666666663,0.0,0.0,0.0,0.0,0,0.0
2013-05-13,8.2,0.0,0.0,0.0,0.0,0,0.0
2013-05-14,6.3666666666666663,0.0,0.0,0.0,0.0,0,0.0
2013-05-15,8.05,0.0,0.0,0.0,0.0,0,0.0
2013-05-16,6.833333333333333,0.0,0.0,0.0,0.0,0,0.0
2013-05-17,6.25,0.0,0.0,0.0,0.0,0,0.0
2013-05-18,6.166666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-05-19,7.95,0.0,0.0,0.0,0.0,0,0.0
2013-05-20,10.166666666666666,0.0,0.0,0.0,0.0,0,0.0
2013-05-21,9.75,0.0,0.0,0.0,0.0,0,0.0
2013-05-22,8.3333333333333339,0.0,0.0,0.0,0.0,0,0.0
2013-05-23,8.8166666666666664,0.0,0.0,0.0,0.0,0,0.0
2013-05-24,7.8,0.0,0.0,0.0,0.0,0,0.0
2013-05-25,10.266666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-05-26,6.916666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-05-27,7.4,0.0,0.0,0.0,0.0,0,0.0
2013-05-28,7.2166666666666668,0.0,0.0,0.0,0.0,0,0.0
2013-05-29,5.583333333333333,0.0,0.0,0.0,0.0,0,0.0
2013-05-30,8.4833333333333325,0.0,0.0,0.0,0.0,0,0.0
2013-05-31,5.3833333333333337,0.0,0.0,0.0,0.0,0,0.0
2013-06-01,7.5166666666666666,0.0,0.0,0.0,0.0,0,0.0
2013-06-02,5.5666666666666664,0.0,0.0,0.0,0.0,0,0.0
2013-06-03,6.7,0.0,0.0,0.0,0.0,0,0.0
2013-06-04,7.6,0.0,0.0,0.0,0.0,0,0.0
2013-06-05,6.416666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-06-06,7.7,0.0,0.0,0.0,0.0,0,0.0
2013-06-07,8.2166666666666668,0.0,0.0,0.0,0.0,0,0.0
2013-06-08,3.9,0.0,0.0,0.0,0.0,0,0.0
2013-06-09,6.9666666666666668,0.0,0.0,0.0,0.0,0,0.0
2013-06-10,5.2666666666666666,0.0,0.0,0.0,0.0,0,0.0
2013-06-11,6.0166666666666666,0.0,0.0,0.0,0.0,0,0.0
2013-06-12,2.7833333333333332,0.0,0.0,0.0,0.0,0,0.0
2013-06-13,10.316666666666666,0.0,0.0,0.0,0.0,0,0.0
2013-06-14,5.166666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-06-15,5.6166666666666663,0.0,0.0,0.0,0.0,0,0.0
2013-06-16,8.4833333333333325,0.0,0.0,0.0,0.0,0,0.0
2013-06-17,7.333333333333333,0.0,0.0,0.0,0.0,0,0.0
2013-06-18,6.2166666666666668,0.0,0.0,0.0,0.0,0,0.0
2013-06-19,7.8,0.0,0.0,0.0,0.0,0,0.0
2013-06-20,8.25,0.0,0.0,0.0,0.0,0,0.0
2013-06-21,7.55,0.0,0.0,0.0,0.0,0,0.0
2013-06-22,6.3833333333333337,0.0,0.0,0.0,0.0,0,0.0
2013-06-23,5.083333333333333,0.0,0.0,0.0,0.0,0,0.0
2013-06-24,4.05,0.0,0.0,0.0,0.0,0,0.0
2013-06-25,6.2833333333333332,0.0,0.0,0.0,0.0,0,0.0
2013-06-26,5.8166666666666664,0.0,0.0,0.0,0.0,0,0.0
2013-06-27,7.833333333333333,0.0,0.0,0.0,0.0,0,0.0
2013-06-28,5.6166666666666663,0.0,0.0,0.0,0.0,0,0.0
2013-06-29,8.95,0.0,0.0,0.0,0.0,0,0.0
2013-06-30,5.4,0.0,0.0,0.0,0.0,0,0.0
2013-07-01,6.25,0.0,0.0,0.0,0.0,0,0.0
2013-07-02,3.65,0.0,0.0,0.0,0.0,0,0.0
2013-07-03,7.666666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-07-04,6.6333333333333337,0.0,0.0,0.0,0.0,0,0.0
2013-07-05,7.3,0.0,0.0,0.0,0.0,0,0.0
